cell,entity,v5,v6_recebido,v6_validado,natureza,classificacao,justificativa
P1,(cabeçalho),Variables,,Variables,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P2,(cabeçalho),value_type,,value_type,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P3,vazao_ltp@L1_L3,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P4,vazao_ltp@L4_L5,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P5,vazao_ltp@L6_L7,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P6,retirada_cond_corr_ltp@L1_L3,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P7,retirada_cond_corr_ltp@L4_L5,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P8,retirada_cond_corr_ltp@L6_L7,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P9,lth@L1_L7,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
P10,lth_grupo@L1_L3,numeric,,numeric,value_type (D1),inesperada no v6 recebido; reaplicada,"O v6 recebido deriva do input do v5 e perdeu a coluna value_type exigida pelo contrato da Etapa 1; reaplicada sem alteração de valor (correção mínima, §4)."
