id,layer,description,expected_regex,observed,status,code
N01,nomes,"hes@L4 (consumidor grupo L4_L5, diário)",VAR97001,OK: 'VAR97001',CONSISTENT,app/engine/reference_resolver.py:192
N02,nomes,hes@L5,VAR97002,OK: 'VAR97002',CONSISTENT,app/engine/reference_resolver.py:192
N03,nomes,hes@L4 com frequência mensal,VAR97003,OK: 'VAR97003',CONSISTENT,app/engine/reference_resolver.py:192
N04,nomes,hes@L4_L5 (grupo explícito),VAR97004,OK: 'VAR97004',CONSISTENT,app/engine/reference_resolver.py:192
N05,nomes,hes implícito do consumidor linha/L4,VAR97001,OK: 'VAR97001',CONSISTENT,app/engine/reference_resolver.py:192
N06,nomes,hes implícito do consumidor linha/L5,VAR97002,OK: 'VAR97002',CONSISTENT,app/engine/reference_resolver.py:192
N07,nomes,hes implícito do consumidor grupo L4_L5,VAR97004,OK: 'VAR97004',CONSISTENT,app/engine/reference_resolver.py:192
N08,nomes,hes implícito do consumidor planta (nenhum candidato alcançável),ReferenceResolutionError.*amb,"ReferenceResolutionError: Referência ambígua (hes, frequência diário, escopo ('planta', 'PLANTA')): VAR97001[diário, linha/L4], VAR97002[diário, linha/L5], VAR97004[diário, linha_grupo/L",CONSISTENT,app/engine/reference_resolver.py:192
N09,nomes,hes sem escopo e sem consumidor (ambíguo),ReferenceResolutionError,"ReferenceResolutionError: Referência ambígua (hes, frequência diário, escopo None): VAR97001[diário, linha/L4], VAR97002[diário, linha/L5], VAR97004[diário, linha_grupo/L4_L5]",CONSISTENT,app/engine/reference_resolver.py:192
N10,nomes,hes@L6 (escopo sem definição),ReferenceResolutionError,"ReferenceResolutionError: Referência hes@L6: nenhuma definição materializa uma instância nesse escopo (candidatas: VAR97001[diário, linha/L4], VAR97002[diário, linha/L5], VAR97004[diário",CONSISTENT,app/engine/reference_resolver.py:192
N11,nomes,hes@L8 (escopo inexistente),Error,InvalidScopeReferenceError: Escopo explícito desconhecido: @L8,CONSISTENT,app/engine/reference_resolver.py:192
N12,nomes,nome inexistente,ReferenceNotFoundError,ReferenceNotFoundError: Referência não encontrada na planilha: xyz,CONSISTENT,app/engine/reference_resolver.py:192
N13,nomes,consumidor linha/L4_L5 (2 instâncias -> definições diferentes),ReferenceResolutionError.*definições diferentes,"ReferenceResolutionError: Referência hes: instâncias do consumidor linha/L4_L5 resolvem para definições diferentes (VAR97001[diário, linha/L4] vs VAR97002[diário, linha/L5]). Uma express",CONSISTENT,app/engine/reference_resolver.py:192
N14,nomes,"hes_l4 e hes coexistem (nomes distintos, mesmo escopo)",VAR97005.*VAR97001,"OK: ('VAR97005', 'VAR97001')",CONSISTENT,app/engine/reference_resolver.py:192
