id,severidade,gate,finding,evidence,root_cause,required_correction,affected,post_correction_verification
F-001,MAJOR,"""F"" / isolamento de escopo","Sob ""F"" em um grupo, a rodada diária inteira para (fail-fast da plataforma): saídas que NÃO dependem do grupo em falha também deixam de ser calculadas.","evidence/checks.json F_fail_fast: grupo L4_L5 = ""F""; dependentes pelo DAG = linha@L4, linha@L5, total; não calculadas = esses + retirada_condensado_linha@L6 e @L7 (colaterais). Determinístico em 5 ordens (order_invariance_results.csv).",ForecastEngine.calculate_from_definition_registry propaga a primeira EquationEvaluationError e interrompe a execução (comportamento registrado como risco na Etapa 1). Não é defeito do workbook.,"Antes de implementar o A41: decidir e documentar a política de falha — (a) manter fail-fast do dia inteiro, aceitando a perda de L6/L7; ou (b) isolar a falha aos descendentes do nó em falha (mudança de plataforma, fora desta auditoria).",app/engine/forecast_engine.py (política); nenhuma célula do workbook,Repetir o cenário F de third_audit_a41_v6.py: colaterais = [] se (b); ou política (a) registrada no contrato.
F-002,MAJOR,Forecast A41,A aba de origem 'Forecast A41' não está disponível: nenhuma das 54 source_reference pôde ser conferida contra a fonte (critério de aprovação 20).,forecast_reconciliation.csv: 54 linhas NOT VERIFIED. Nenhum arquivo 'Forecast A41' no repositório ou nos anexos da sessão.,Fonte primária não fornecida em nenhuma das etapas.,"Fornecer a aba 'Forecast A41' e conferir, no mínimo: C26/C27/C28 (41c/41d), A11 (valor_retirada ×3 + grupo L1_L3), B31 (vazao_ltp ×3), D32 (fator ×3), A12/A13/A10, B41–B61, A3–A9, A16–A19.",forecast_reconciliation.csv (todas as linhas),Preencher 'resultado' com valor/fórmula da fonte; status PASS por célula.
F-003,MINOR,41c/41d,C28 (41c@L6_L7) não é corroborada internamente: os parâmetros do workbook mapeiam as linhas 23–27 a 41a/41b/41x/41c/41d; nenhuma entidade declara a condição da linha 28. C26→41c e C27→41d são corroboradas.,forecast_reconciliation.csv (corroboracao_interna); evidence/checks.json forecast_param_rows.,A decisão do usuário (vinculante) introduz uma linha da fonte sem outra entidade que a descreva.,Nenhuma alteração de valor. Confirmar C28 junto com F-002.,workbook K30,Com a fonte: rótulo da linha 28 = condição 41c do grupo L6_L7.
F-004,MAJOR,proveniência,O v6 recebido (cópia do usuário) não contém as correções estruturais D1 (value_type) e D2 (hes_lN@LN); só o v6 validado passa. Implementar a partir do arquivo do usuário reintroduz falhas de runtime (32 falhas no harness).,"change_matrix.csv: v5_validado -> v6_recebido (P*, M39, M42 AUSENTES); v6_recebido = v5_input + K30,K31.","O v6 foi editado a partir do input do v5, não do v5 validado.",Adotar o v6 validado (sha 4b0c41ae…) como cópia mestre; futuras edições partem dele.,audit/area_41_v6/descritivo_das_variáveis_A41_v6.xlsx,sha256 do arquivo usado na implementação = 4b0c41aef6c56a5b655faa543cf96f33f270cdfad8ecd2b4c6a5e1a09144a352 (ou change_matrix limitada a alterações aprovadas).
F-005,MINOR,documentação,OBS das linhas 39 e 42 ainda afirma que as referências 41c/41d são inconsistentes e pede confirmação — contradiz a decisão já fechada (e repete a última frase).,Célula O39/O42 do v6 validado.,Nota anterior à decisão do usuário não foi atualizada.,"Atualizar O39/O42 para registrar a decisão (C26→41c@L4_L5, C28→41c@L6_L7, C27→41d@L4_L5).","workbook O39, O42",O39/O42 sem pendência 41c/41d; demais células inalteradas.
F-006,MINOR,unidades,vazao_ltp declara unidade '-' embora seja uma vazão (OBS compara com LTP=1067 e LTH em m³/h). Sem impacto no runtime (argumento de ln).,entity_inventory.csv linhas 3–5; dimensional_validation.csv.,Unidade não informada no descritivo.,Declarar a unidade da vazão (ex.: m³/h) após confirmação na fonte.,workbook D3:D5,dimensional_validation.csv reexecutado sem alteração de resultado.
F-007,MINOR,semântica de entrada,valor_retirada@L1/L2/L3 tem significado em aberto no próprio workbook ('Verificar o que significa essa variável') e as três entradas compartilham a célula A11 com a saída retirada_condensado_grupo@L1_L3.,OBS O19:O21; forecast_reconciliation.csv (A11 compartilhada por 6 entidades).,"Os valores provavelmente são constantes embutidas na fórmula de A11 (47, 47, 48); não verificável sem a fonte.",Confirmar com a fonte e ajustar nome/descrição; a fórmula do grupo L1_L3 não muda.,workbook linhas 19–21,forecast_reconciliation.csv com A11 verificada.
F-008,INFORMATIONAL,A021 / implementação,"As linhas 52/53 (retirada_condensado_linha mensal/anual, linha/L1_L7) têm 7 origens diárias distintas. O resolvedor central recusa resolver a origem pelo escopo declarado; é preciso resolver por instância concreta e gerar uma regra por origem.","Sonda: resolve_reference(..., consumer_scope=('linha','L1_L7')) -> ReferenceResolutionError; aggregation_matrix.csv: 7+7 instâncias com resolução por instância.",Contrato A019/A021: uma expressão/regra grava um único ID de origem.,O builder do A41 deve resolver a origem por instância concreta (padrão demonstrado no script); o padrão do builder max_ht (escopo declarado) não serve para essas linhas.,futuro builder A41 (não criado),aggregation_matrix.csv: 22 instâncias.
F-009,INFORMATIONAL,unidades,"ln é aplicado a grandezas dimensionais (m³/h) e as equações condicionais somam constantes (100, 50) a m³/h: as unidades estão implícitas nos coeficientes/constantes da regressão.",dimensional_validation.csv (observacoes).,Modelo empírico do Forecast.,Nenhuma.,—,—
F-010,INFORMATIONAL,dependências,"7 parâmetros (retirada_meta_41*, retirada_performance_41c, retirada_manobra_linha_41a) não são consumidos; o workbook documenta 'Dados não utilizados na planilha. AVALIAR…'.",evidence/checks.json unused_inputs_and_parameters; dependency_matrix.csv.,Dados de referência mantidos por decisão documental.,Nenhuma (decisão de produto).,workbook linhas 32–38,—
