seq,equation_definition_id,platform_name,platform_target,platform_scope,platform_status,platform_version,source_row,formula_match,primary_classification,secondary_classification,severity,confidence,platform_expression,platform_expression_as_names,platform_expression_normalized,source_expression,source_expression_normalized,discrepancy_description
1,EQ11001,yield,VAR11001,linha/L1_L7,PUBLISHED,1,2,EXACT,MATCH,,INFO,HIGH,(VAR11006 - VAR11008)*PARAM11001 - 0.654*VAR11007,(ltp_a_c - ratio_spent)*ltp_tc - 0.654*sl_solids,(ltp_a_c-ratio_spent)*ltp_tc-0.654*sl_solids,"(ltp_a_c - ratio_spent)*ltp_tc - 0,654*sl_solids",(ltp_a_c-ratio_spent)*ltp_tc-0.654*sl_solids,
2,EQ11002,ltp,VAR11002,linha/L1_L7,PUBLISHED,1,3,EXACT,MATCH,,INFO,HIGH,VAR11003*VAR11005,lth*ltp_lth,lth*ltp_lth,lth*ltp_lth,lth*ltp_lth,
3,EQ11003,ssa_media,VAR11011,linha/L1_L7,PUBLISHED,1,13,EXACT,MATCH,,INFO,HIGH,(VAR11009 + VAR11010)/2,(ssa_sf + ssa_sg)/2,(ssa_sf+ssa_sg)/2,(ssa_sf + ssa_sg)/2,(ssa_sf+ssa_sg)/2,
4,EQ11004,n_ppt,VAR11012,linha/L1_L7,PUBLISHED,1,14,DIFFERENT,SEMANTIC_MATCH,,INFO,HIGH,PARAM11003 - VAR11239,tanque_base - tanque,tanque_base-tanque,tanque_base_L1@ - tanque_L1@,tanque_base_L1@-tanque_L1@,"Fonte usa notacao current-line 'tanque_base_L1@ - tanque_L1@' (nao adotada pela plataforma, ver secao 15). Plataforma usa referencia sem escopo 'tanque_base - tanque', resolvida contextualmente por EquationInstance (secao 16). Semanticamente equivalente; comprovado por teste executavel para L1..L7."
5,EQ11005,producao_base_ppt,VAR11015,linha/L1_L7,PUBLISHED,1,17,EXACT,MATCH,,INFO,HIGH,(VAR11001*24*VAR11002*0.97)/1000,(yield*24*ltp*0.97)/1000,(yield*24*ltp*0.97)/1000,"(yield*24*ltp*0,97)/1000",(yield*24*ltp*0.97)/1000,
6,EQ11006,ratio_spent,VAR11008,linha/L1_L7,PUBLISHED,1,10,DIFFERENT,MATCH,INFO:HISTORICAL_SOURCE_NOTE,INFO,HIGH,VAR11087 - 0.005*(VAR11012 - VAR11091) - 0.0017*(-VAR11013 + VAR11092) - 0.0007*((VAR11014 - VAR11093)/5) - 0.0017*(PARAM11002 - PARAM11001) - 0.004*((VAR11081 - VAR11002)/100) + 0.002*(VAR11090 - VAR11011),ratio_spent_base - 0.005*(n_ppt - n_ppt_base) - 0.0017*(-eoc_temp + eoc_temp_base) - 0.0007*((eoc_solids - eoc_solids_base)/5) - 0.0017*(ltp_tc_base - ltp_tc) - 0.004*((ltp_base - ltp)/100) + 0.002*(ssa_media_base - ssa_media),ratio_spent_base-0.005*(n_ppt-n_ppt_base)-0.0017*(-eoc_temp+eoc_temp_base)-0.0007*((eoc_solids-eoc_solids_base)/5)-0.0017*(ltp_tc_base-ltp_tc)-0.004*((ltp_base-ltp)/100)+0.002*(ssa_media_base-ssa_media),"ratio_spent_base - 0,005*(n_ppt - n_ppt_base) - 0,0017*(- eoc_temp + eoc_temp_base) - 0,0007*((eoc_solids - eoc_solids_base)/5) - 0,0017*(ltp_tc_base - ltp_tc) - 0,004*((ltp - ltp_base)/100) - 0,002*( - ssa_media + ssa_media_base)",ratio_spent_base-0.005*(n_ppt-n_ppt_base)-0.0017*(-eoc_temp+eoc_temp_base)-0.0007*((eoc_solids-eoc_solids_base)/5)-0.0017*(ltp_tc_base-ltp_tc)-0.004*((ltp-ltp_base)/100)-0.002*(-ssa_media+ssa_media_base),"MATCH contra a regra de negocio Nivel 1 (aprovada, secao 4.1) -- formula implementada e identica termo a termo a regra oficial, incluindo o coeficiente 0.0007. historical/source note: o workbook (Nivel 2) diverge em SINAL em 2 dos 7 termos: LTP: platform '-0.004*(LTP_base-LTP)/100' vs source '-0.0040*(ltp-ltp_base)/100' (sinais opostos); SSAmedia: platform '+0.002*(SSAmedia_base-SSAmedia)' vs source '-0.002*(-ssa_media+ssa_media_base)' == '+0.002*(ssa_media-ssa_media_base)' (sinais opostos). Os demais 5 termos (Ratio_spent_base, n_ppt, EOCtemp, EOCsolids incl. coeficiente 0.0007, LTPTC) sao identicos entre as duas fontes."
7,EQ11007,yield_base,VAR11080,linha/L1_L7,PUBLISHED,1,82,EXACT,MATCH,,INFO,HIGH,(VAR11085 - VAR11087)*PARAM11002 - 0.654*VAR11086,(ltp_a_c_base - ratio_spent_base)*ltp_tc_base - 0.654*sl_solids_base,(ltp_a_c_base-ratio_spent_base)*ltp_tc_base-0.654*sl_solids_base,"(ltp_a_c_base - ratio_spent_base)*ltp_tc_base - 0,654*sl_solids_base",(ltp_a_c_base-ratio_spent_base)*ltp_tc_base-0.654*sl_solids_base,
8,EQ11008,ltp_base,VAR11081,linha/L1_L7,PUBLISHED,1,83,EXACT,MATCH,,INFO,HIGH,VAR11082*VAR11084,lth_base*ltp_lth_base,lth_base*ltp_lth_base,lth_base*ltp_lth_base,lth_base*ltp_lth_base,
9,EQ11009,ssa_media_base,VAR11090,linha/L1_L7,PUBLISHED,1,93,EXACT,MATCH,,INFO,HIGH,(VAR11088 + VAR11089)/2,(ssa_sf_base + ssa_sg_base)/2,(ssa_sf_base+ssa_sg_base)/2,(ssa_sf_base + ssa_sg_base)/2,(ssa_sf_base+ssa_sg_base)/2,
10,EQ11010,producao_base_ppt_base,VAR11094,linha/L1_L7,PUBLISHED,1,97,EXACT,MATCH,,INFO,HIGH,(VAR11080*24*30*VAR11081*0.97)/1000,(yield_base*24*30*ltp_base*0.97)/1000,(yield_base*24*30*ltp_base*0.97)/1000,"(yield_base*24*30*ltp_base*0,97)/1000",(yield_base*24*30*ltp_base*0.97)/1000,
11,EQ11011,yield,VAR11016,linha_grupo/L1_L3,PUBLISHED,1,18,EXACT,MATCH,,INFO,HIGH,( VAR11001@L1*VAR11002@L1 + VAR11001@L2*VAR11002@L2 + VAR11001@L3*VAR11002@L3 ) / ( VAR11002@L1 + VAR11002@L2 + VAR11002@L3 ),( yield@L1*ltp@L1 + yield@L2*ltp@L2 + yield@L3*ltp@L3 ) / ( ltp@L1 + ltp@L2 + ltp@L3 ),(yield@L1*ltp@L1+yield@L2*ltp@L2+yield@L3*ltp@L3)/(ltp@L1+ltp@L2+ltp@L3),( yield@L1*ltp@L1 + yield@L2*ltp@L2 + yield@L3*ltp@L3 ) / ( ltp@L1 + ltp@L2 + ltp@L3 ),(yield@L1*ltp@L1+yield@L2*ltp@L2+yield@L3*ltp@L3)/(ltp@L1+ltp@L2+ltp@L3),
12,EQ11012,ratio_spent,VAR11024,linha_grupo/L1_L3,PUBLISHED,1,26,EXACT,MATCH,,INFO,HIGH,( VAR11008@L1*VAR11002@L1 + VAR11008@L2*VAR11002@L2 + VAR11008@L3*VAR11002@L3 ) / ( VAR11002@L1 + VAR11002@L2 + VAR11002@L3 ),( ratio_spent@L1*ltp@L1 + ratio_spent@L2*ltp@L2 + ratio_spent@L3*ltp@L3 ) / ( ltp@L1 + ltp@L2 + ltp@L3 ),(ratio_spent@L1*ltp@L1+ratio_spent@L2*ltp@L2+ratio_spent@L3*ltp@L3)/(ltp@L1+ltp@L2+ltp@L3),( ratio_spent@L1*ltp@L1 + ratio_spent@L2*ltp@L2 + ratio_spent@L3*ltp@L3 ) /  ( ltp@L1 + ltp@L2 + ltp@L3 ),(ratio_spent@L1*ltp@L1+ratio_spent@L2*ltp@L2+ratio_spent@L3*ltp@L3)/(ltp@L1+ltp@L2+ltp@L3),
13,EQ11013,eoc_temp,VAR11029,linha_grupo/L1_L3,PUBLISHED,1,31,EXACT,MATCH,,INFO,HIGH,( VAR11013@L1*VAR11002@L1 + VAR11013@L2*VAR11002@L2 + VAR11013@L3*VAR11002@L3 ) / ( VAR11002@L1 + VAR11002@L2 + VAR11002@L3 ),( eoc_temp@L1*ltp@L1 + eoc_temp@L2*ltp@L2 + eoc_temp@L3*ltp@L3 ) / ( ltp@L1 + ltp@L2 + ltp@L3 ),(eoc_temp@L1*ltp@L1+eoc_temp@L2*ltp@L2+eoc_temp@L3*ltp@L3)/(ltp@L1+ltp@L2+ltp@L3), ( eoc_temp@L1*ltp@L1 + eoc_temp@L2*ltp@L2 + eoc_temp@L3*ltp@L3 ) /  ( ltp@L1 + ltp@L2 + ltp@L3 ),(eoc_temp@L1*ltp@L1+eoc_temp@L2*ltp@L2+eoc_temp@L3*ltp@L3)/(ltp@L1+ltp@L2+ltp@L3),
14,EQ11014,ltp,VAR11017,linha_grupo/L1_L3,PUBLISHED,1,19,EXACT,MATCH,,INFO,HIGH,( VAR11002@L1 + VAR11002@L2 + VAR11002@L3 ) / 3,( ltp@L1 + ltp@L2 + ltp@L3 ) / 3,(ltp@L1+ltp@L2+ltp@L3)/3, ( ltp@L1 + ltp@L2 + ltp@L3 ) / 3,(ltp@L1+ltp@L2+ltp@L3)/3,
